feature_set,model,selected_threshold,f1_threshold,f1_at_f1_threshold,youden_threshold,youden_at_youden_threshold,balanced_threshold,balanced_score,best_params,best_valid_roc_auc
primary,logistic_regression,0.5210027287596741,0.5243398510417292,0.31746031746031744,0.5210027287596741,0.2558294779106962,0.5210027287596741,0.5730414267015924,{'C': 0.7517511526068185},0.6555796149704779
primary,random_forest,0.4322874363651074,0.46127839435127405,0.30837004405286345,0.4322874363651074,0.26526688201815096,0.4322874363651074,0.5727982627712891,"{'n_estimators': 162, 'max_depth': 8, 'min_samples_leaf': 17}",0.6652053530226119
primary,xgboost,0.535504937171936,0.5845758318901062,0.304726368159204,0.535504937171936,0.2653753465936206,0.535504937171936,0.5698069458229077,"{'n_estimators': 148, 'max_depth': 2, 'learning_rate': 0.02797911365070284, 'subsample': 0.672099077547787, 'colsample_bytree': 0.6677133328811644, 'reg_lambda': 3.124376301798936, 'scale_pos_weight': 9.414326518596924}",0.6622003912613049
primary,lightgbm,0.3286947954276486,0.3534067482651427,0.3046739757645701,0.3286947954276486,0.25829260981545255,0.3286947954276486,0.561473524328375,"{'n_estimators': 131, 'num_leaves': 14, 'max_depth': 2, 'learning_rate': 0.022147077652063186, 'min_child_samples': 60, 'subsample': 0.9849937491166506, 'colsample_bytree': 0.7977656243528263, 'scale_pos_weight': 3.886543362011005}",0.6592984708466942
primary,catboost,0.45035190464613406,0.49103170063043733,0.30634023854362835,0.45035190464613406,0.2578735421375016,0.45035190464613406,0.5626752122836394,"{'iterations': 352, 'depth': 4, 'learning_rate': 0.024585043930610614, 'l2_leaf_reg': 4.6061245224589795}",0.6608914210437054
no_body_size_demographic,logistic_regression,0.5410056785111181,0.5410056785111181,0.30757097791798105,0.5410056785111181,0.2280743790896076,0.5410056785111181,0.5356453570075886,{'C': 0.07897450495526927},0.6415157036984448
no_body_size_demographic,random_forest,0.446696396343283,0.45019836118244355,0.30918425556189394,0.446696396343283,0.2617753087296235,0.446696396343283,0.570582443623715,"{'n_estimators': 223, 'max_depth': 8, 'min_samples_leaf': 10}",0.6540507574771534
no_body_size_demographic,xgboost,0.6082058548927307,0.6082058548927307,0.29906542056074764,0.5465818643569946,0.22051932838734878,0.6082058548927307,0.5170161105926561,"{'n_estimators': 148, 'max_depth': 2, 'learning_rate': 0.02797911365070284, 'subsample': 0.672099077547787, 'colsample_bytree': 0.6677133328811644, 'reg_lambda': 3.124376301798936, 'scale_pos_weight': 9.414326518596924}",0.6467836309206867
no_body_size_demographic,lightgbm,0.3555032776654081,0.3555032776654081,0.2977528089887641,0.3555032776654081,0.23225322336997456,0.3555032776654081,0.5300060323587387,"{'n_estimators': 131, 'num_leaves': 14, 'max_depth': 2, 'learning_rate': 0.022147077652063186, 'min_child_samples': 60, 'subsample': 0.9849937491166506, 'colsample_bytree': 0.7977656243528263, 'scale_pos_weight': 3.886543362011005}",0.6466372037438027
no_body_size_demographic,catboost,0.5019735347053431,0.5098409642306864,0.30044557606619987,0.5019735347053431,0.23144368322033282,0.5019735347053431,0.5305534755051993,"{'iterations': 131, 'depth': 3, 'learning_rate': 0.022713369064581, 'l2_leaf_reg': 1.1235942874800418}",0.6496811141481194
literature_fi_minimal,logistic_regression,0.46145957340505184,0.46145957340505184,0.2755905511811024,0.46145957340505184,0.17759003545805574,0.46145957340505184,0.4531805866391581,{'C': 2.320763804809883},0.6214694780684629
literature_fi_minimal,random_forest,0.49333210758715457,0.49333210758715457,0.2800641368252272,0.49333210758715457,0.18797305345528703,0.49333210758715457,0.4680371902805142,"{'n_estimators': 160, 'max_depth': 3, 'min_samples_leaf': 2}",0.6219412989717559
literature_fi_minimal,xgboost,0.5105242133140564,0.5105242133140564,0.29268292682926833,0.5105242133140564,0.19472152213268967,0.5105242133140564,0.487404448961958,"{'n_estimators': 142, 'max_depth': 3, 'learning_rate': 0.025683147749458696, 'subsample': 0.917893642460109, 'colsample_bytree': 0.8967275702272512, 'reg_lambda': 4.708567619590285, 'scale_pos_weight': 5.071466654508563}",0.6223095855075551
literature_fi_minimal,lightgbm,0.38529519071522594,0.38529519071522594,0.28214037526059765,0.38529519071522594,0.1846293864060362,0.38529519071522594,0.46676976166663386,"{'n_estimators': 131, 'num_leaves': 14, 'max_depth': 2, 'learning_rate': 0.022147077652063186, 'min_child_samples': 60, 'subsample': 0.9849937491166506, 'colsample_bytree': 0.7977656243528263, 'scale_pos_weight': 3.886543362011005}",0.6222701438437479
literature_fi_minimal,catboost,0.5020030251861655,0.5020030251861655,0.28144744399770244,0.5020030251861655,0.1891671498270484,0.5020030251861655,0.47061459382475085,"{'iterations': 131, 'depth': 3, 'learning_rate': 0.022713369064581, 'l2_leaf_reg': 1.1235942874800418}",0.6246001601331551
broad_fi_minimal,logistic_regression,0.522003529342667,0.522003529342667,0.281992337164751,0.522003529342667,0.18155392267067394,0.522003529342667,0.4635462598354249,{'C': 0.03967694542223149},0.6109459491439186
broad_fi_minimal,random_forest,0.5395811820591538,0.5395811820591538,0.29723991507430997,0.5233216312060982,0.21587310039086693,0.5395811820591538,0.5124316607229082,"{'n_estimators': 160, 'max_depth': 3, 'min_samples_leaf': 2}",0.6351586935343281
broad_fi_minimal,xgboost,0.6180282235145569,0.6180282235145569,0.2941571524513096,0.6180282235145569,0.21175736277259105,0.6180282235145569,0.5059145152239006,"{'n_estimators': 148, 'max_depth': 2, 'learning_rate': 0.02797911365070284, 'subsample': 0.672099077547787, 'colsample_bytree': 0.6677133328811644, 'reg_lambda': 3.124376301798936, 'scale_pos_weight': 9.414326518596924}",0.6313791961000084
broad_fi_minimal,lightgbm,0.3753322191756272,0.3753322191756272,0.2927414517096581,0.3753322191756272,0.2151463877352202,0.3753322191756272,0.5078878394448783,"{'n_estimators': 131, 'num_leaves': 14, 'max_depth': 2, 'learning_rate': 0.022147077652063186, 'min_child_samples': 60, 'subsample': 0.9849937491166506, 'colsample_bytree': 0.7977656243528263, 'scale_pos_weight': 3.886543362011005}",0.628276123199981
broad_fi_minimal,catboost,0.5121587136190435,0.5186560856538973,0.2953197099538563,0.5121587136190435,0.21699324364298977,0.5121587136190435,0.5114031815311886,"{'iterations': 131, 'depth': 3, 'learning_rate': 0.022713369064581, 'l2_leaf_reg': 1.1235942874800418}",0.6363838502163375
