,fi_2011,fi_broad_exploratory_2011,chronic_disease_1_2011,functional_difficulty_1_2011,chronic_disease_5_2011,self_rated_health_2011,health_compared_peer_2011,age_2011,functional_difficulty_6_2011,functional_difficulty_5_2011,functional_difficulty_19_2011,functional_difficulty_17_2011,bmi_to_fi_2011,functional_difficulty_8_2011,functional_difficulty_16_2011,chronic_disease_14_2011,marital_code_2011,functional_difficulty_11_2011,functional_difficulty_14_2011,systolic_bp_mean_2011
fi_2011,1.0,0.5380106647199818,0.45665403931066945,0.24624870300327717,0.40487839958909133,0.33570739640045855,0.32661337293758036,0.12950998067311004,0.2620498643583764,0.2912529516642043,0.1242219758956599,0.14739111250927744,0.4084006167655062,0.14989898739668112,0.14431875292439272,0.30089615333796116,0.03378049382745791,0.09800084084318265,0.14989715911221008,0.14752657385912868
fi_broad_exploratory_2011,0.5380106647199818,1.0,0.2552684277952909,0.5266440224254575,0.22699837014680502,0.5446688501464371,0.5552377525977943,0.32321144570883686,0.6269315846357914,0.6233934234585732,0.5136270632027584,0.6170882190466311,0.07311705841440447,0.5788990929991852,0.6353631861754585,0.17293286547582312,0.1550769668512156,0.6217635299387153,0.6088006214762167,0.10906748280588659
chronic_disease_1_2011,0.45665403931066945,0.2552684277952909,1.0,0.12002703966587515,0.017613274298673688,0.13816977788988297,0.14260036586563243,0.15202648699938665,0.09778892121416914,0.12381578553209598,0.06922200982360609,0.09401126113915774,0.14694204335157565,0.08624616425965592,0.09273433627657549,0.010348655333276276,0.03733218441338116,0.0761681155465144,0.06319134047448323,0.35858710904635477
functional_difficulty_1_2011,0.24624870300327717,0.5266440224254575,0.12002703966587515,1.0,0.11218131062800978,0.3452525439042528,0.35172442771587537,0.2853946526956722,0.35629626758226135,0.4510315699099601,0.2144540248262477,0.22782859967746275,0.07747140305711639,0.28052205414753856,0.242225968848523,0.09239653072358614,0.13563853430649986,0.10647902635809293,0.10653841130328416,0.09383834888143311
chronic_disease_5_2011,0.40487839958909133,0.22699837014680502,0.017613274298673688,0.11218131062800978,1.0,0.13781151466745148,0.15636022185127202,0.11924346256171961,0.09060949932545721,0.13042472763111357,0.04345979400971213,0.07649075334413466,0.011303376818805475,0.08120013097819125,0.07562671282742207,0.32801778973152046,0.03270989925959463,0.05268602058605047,0.03778282513579025,0.008579966701518418
self_rated_health_2011,0.33570739640045855,0.5446688501464371,0.13816977788988297,0.3452525439042528,0.13781151466745148,1.0,,0.13109975169380406,0.30366392399633335,0.334869162325115,0.193717561766047,0.20454629973472685,0.019890313773522874,0.22659081937274955,0.2228169260594778,0.1016040112984586,0.051706067398303336,0.16828857318035773,0.18678573360738498,0.046666837509471336
health_compared_peer_2011,0.32661337293758036,0.5552377525977943,0.14260036586563243,0.35172442771587537,0.15636022185127202,,1.0,0.13730266326818383,0.3076324172836801,0.3342293527527009,0.22184541360969587,0.26003909849428586,0.024429945371427262,0.2767218171117839,0.26073582696955006,0.1098423552531366,0.05057360655306018,0.22075148885219928,0.22528291919822332,0.018996862150575056
age_2011,0.12950998067311004,0.32321144570883686,0.15202648699938665,0.2853946526956722,0.11924346256171961,0.13109975169380406,0.13730266326818383,1.0,0.20696026140396065,0.2363316219085521,0.21344609215609883,0.24408396091044823,-0.01061242895329325,0.27957314499558983,0.24044592866115255,0.09007404335351214,0.32018529026694664,0.1873029938963428,0.19431534402105627,0.2669901102638805
functional_difficulty_6_2011,0.2620498643583764,0.6269315846357914,0.09778892121416914,0.35629626758226135,0.09060949932545721,0.30366392399633335,0.3076324172836801,0.20696026140396065,1.0,0.46900037867604916,0.2507381593326443,0.3126933887398863,0.06236929083294479,0.34691986399042235,0.33261468922441095,0.05819605461843234,0.09764629211737338,0.2649610517174923,0.381145920891051,0.05439496426353497
functional_difficulty_5_2011,0.2912529516642043,0.6233934234585732,0.12381578553209598,0.4510315699099601,0.13042472763111357,0.334869162325115,0.3342293527527009,0.2363316219085521,0.46900037867604916,1.0,0.25704724992732497,0.2977330128285171,0.07882929671464206,0.33672291244413477,0.31743705863281707,0.10757446746665959,0.11903478125874177,0.20896251589722353,0.24240146628905726,0.05454870803175224
functional_difficulty_19_2011,0.1242219758956599,0.5136270632027584,0.06922200982360609,0.2144540248262477,0.04345979400971213,0.193717561766047,0.22184541360969587,0.21344609215609883,0.2507381593326443,0.25704724992732497,1.0,0.39628955635438473,0.0006247673645825395,0.31893464859156473,0.38447111219276936,0.046435176194905066,0.11072992238888256,0.3285628215401232,0.27270010608108436,0.0783977997730966
functional_difficulty_17_2011,0.14739111250927744,0.6170882190466311,0.09401126113915774,0.22782859967746275,0.07649075334413466,0.20454629973472685,0.26003909849428586,0.24408396091044823,0.3126933887398863,0.2977330128285171,0.39628955635438473,1.0,0.01056083487356004,0.42695728322328697,0.7287394757769763,0.0643787397953688,0.1184392406086391,0.5293352927143757,0.4137591004409972,0.06604297022291351
bmi_to_fi_2011,0.4084006167655062,0.07311705841440447,0.14694204335157565,0.07747140305711639,0.011303376818805475,0.019890313773522874,0.024429945371427262,-0.01061242895329325,0.06236929083294479,0.07882929671464206,0.0006247673645825395,0.01056083487356004,1.0,0.018091678109152923,0.013294540764461368,0.01350157569891202,-0.013328530769706963,-0.008771445008652434,0.012818160976202291,0.10366195755420197
functional_difficulty_8_2011,0.14989898739668112,0.5788990929991852,0.08624616425965592,0.28052205414753856,0.08120013097819125,0.22659081937274955,0.2767218171117839,0.27957314499558983,0.34691986399042235,0.33672291244413477,0.31893464859156473,0.42695728322328697,0.018091678109152923,1.0,0.4532808632896787,0.054910570936431556,0.145263806589049,0.38962687278820485,0.32616369847416377,0.08374192513422286
functional_difficulty_16_2011,0.14431875292439272,0.6353631861754585,0.09273433627657549,0.242225968848523,0.07562671282742207,0.2228169260594778,0.26073582696955006,0.24044592866115255,0.33261468922441095,0.31743705863281707,0.38447111219276936,0.7287394757769763,0.013294540764461368,0.4532808632896787,1.0,0.0641383285142536,0.11920529560189153,0.5325383690555533,0.44194870950174736,0.05687595686401933
chronic_disease_14_2011,0.30089615333796116,0.17293286547582312,0.010348655333276276,0.09239653072358614,0.32801778973152046,0.1016040112984586,0.1098423552531366,0.09007404335351214,0.05819605461843234,0.10757446746665959,0.046435176194905066,0.0643787397953688,0.01350157569891202,0.054910570936431556,0.0641383285142536,1.0,0.046616238961510806,0.04376471157558628,0.037740506780035,0.015533464602634769
marital_code_2011,0.03378049382745791,0.1550769668512156,0.03733218441338116,0.13563853430649986,0.03270989925959463,0.051706067398303336,0.05057360655306018,0.32018529026694664,0.09764629211737338,0.11903478125874177,0.11072992238888256,0.1184392406086391,-0.013328530769706963,0.145263806589049,0.11920529560189153,0.046616238961510806,1.0,0.1039943713752841,0.07487710209844835,0.13849903422590382
functional_difficulty_11_2011,0.09800084084318265,0.6217635299387153,0.0761681155465144,0.10647902635809293,0.05268602058605047,0.16828857318035773,0.22075148885219928,0.1873029938963428,0.2649610517174923,0.20896251589722353,0.3285628215401232,0.5293352927143757,-0.008771445008652434,0.38962687278820485,0.5325383690555533,0.04376471157558628,0.1039943713752841,1.0,0.44821423999622334,0.0647870150955574
functional_difficulty_14_2011,0.14989715911221008,0.6088006214762167,0.06319134047448323,0.10653841130328416,0.03778282513579025,0.18678573360738498,0.22528291919822332,0.19431534402105627,0.381145920891051,0.24240146628905726,0.27270010608108436,0.4137591004409972,0.012818160976202291,0.32616369847416377,0.44194870950174736,0.037740506780035,0.07487710209844835,0.44821423999622334,1.0,0.05244946133008214
systolic_bp_mean_2011,0.14752657385912868,0.10906748280588659,0.35858710904635477,0.09383834888143311,0.008579966701518418,0.046666837509471336,0.018996862150575056,0.2669901102638805,0.05439496426353497,0.05454870803175224,0.0783977997730966,0.06604297022291351,0.10366195755420197,0.08374192513422286,0.05687595686401933,0.015533464602634769,0.13849903422590382,0.0647870150955574,0.05244946133008214,1.0
